Name,Nationality,Overall,Position,Club
F. Borța,Romania,62,RB,FC Argeș
L. Karl,Germany,63,CAM,FC Bayern München
L. Comas,Argentina,66,LM,Sportivo Luqueño
T. Espinosa,Uruguay,68,LB,Racing Club de Montevideo
Pedro Alemañ,Spain,62,CAM,Granada CF
C. Patierno,Italy,67,ST,Avellino
G. Johnston,Scotland,67,CB,Bolton Wanderers
P. Sejdiu,Sweden,65,RW,Östers IF
Yoon Do Young,South Korea,63,RM,Excelsior
S. Sané,Senegal,70,CB,FC Metz
C. Togashi,Japan,64,ST,Atlanta United
B. Salamon,Poland,68,CB,Carrarese
Yang Chaosheng,China,60,ST,Meizhou Hakka
Yang Shiyuan,China,57,CM,Shanghai Port
U. Giménez,Argentina,63,CB,River Plate
O. Camara,France,69,CB,Angers SCO
F. Strauss,Austria,63,CB,SSV Jahn Regensburg
A. Suhonen,Finland,66,CAM,Östers IF
R. Kolli,Algeria,65,ST,Queens Park Rangers
C. Kolimatsis,Greece,61,CDM,AEK Athens
H. McHugh,England,57,CM,Wigan Athletic
M. Pavlović,Slovenia,66,LB,FC Botoşani
J. Girdwood-Reich,Australia,63,CB,St. Louis CITY SC
P. Brunner,Germany,66,ST,AS Monaco
A. Jatta,Gambia,65,ST,Notts County
K. Kouassivi-Benissan,Finland,60,RB,HJK Helsinki
L. Paradela,Cuba,65,LM,Universitatea Craiova
L. Jetten,Netherlands,62,LB,Ajax
Gabriel Maioli,Brazil,65,RW,APOEL FC
S. Risch,Germany,64,LB,Dynamo Dresden
S. Jarl,Norway,64,CB,Vålerenga Fotball
H. Silveira,Uruguay,68,ST,Racing Club de Montevideo
T. Gray,Jamaica,66,RB,New York City FC
L. Väisänen,Finland,69,CB,BK Häcken
F. Martínez,Uruguay,67,LB,Boston River
E. Echenique,Venezuela,68,RM,FC Cincinnati
K. Hajrizi,Kosovo,67,CB,FC Sion
Álvaro Martín,Spain,62,CAM,FC Andorra
G. Yow,United States,69,RM,KVC Westerlo
Fang Hao,China,59,RW,Beijing Guoan
M. Breunig,Germany,68,ST,1. FC Magdeburg
D. Reiter,Austria,62,RM,Blau-Weiß Linz
A. Fortune,Trinidad and Tobago,61,CM,Atlanta United
R. Street,England,63,ST,Lincoln City
A. Noor,Saudi Arabia,65,RM,NEOM SC
J. Vignolo,Argentina,65,ST,Toulouse FC
S. Thomas,England,62,LM,Leicester City
K. Diawara,Guinea,65,RM,1. FC Magdeburg
N. Kaján,Hungary,63,RB,Csíkszereda Miercurea Ciuc
Óscar Rivas,Spain,67,CB,Vitória SC
M. Rossignol,France,62,CM,Le Mans FC
T. Ostler,Australia,60,RM,Perth Glory
A. Warneryd,Sweden,61,RB,Tromsø IL
D. Ball,England,65,CDM,Cambridge United
M. Al Saad,Saudi Arabia,68,RM,FC Lausanne-Sport
R. Santa Cruz,Paraguay,69,ST,Libertad
A. Bamsaud,Saudi Arabia,61,LB,Al Fayha
G. Zaro,Italy,71,CB,Cesena FC
R. Coughlan,Republic of Ireland,62,ST,Fleetwood Town
D. Thompson,England,63,LB,Kilmarnock
H. Friðjónsson,Iceland,65,ST,Gwangju FC
L. Koerdt,Germany,62,CAM,VfL Bochum 1848
C. McLennan,Scotland,60,RM,Livingston FC
Rafa Tresaco,Spain,65,LM,Cultural Leonesa
M. Clairicia,France,67,ST,VfL Bochum 1848
R. Hunt,England,61,RB,Colchester United
J. Kramer,Netherlands,72,CB,Go Ahead Eagles
I. Aliyu,Nigeria,65,LM,Columbus Crew
L. Diaby Fadiga,France,65,ST,Raków Częstochowa
P. Retre,Australia,60,CDM,Wellington Phoenix
R. Singh,India,58,LB,Bengaluru FC
C. Garza,Mexico,61,CDM,Dundee FC
Y. Cappelle,Belgium,61,LB,SV Zulte Waregem
M. Varnier,Italy,69,CB,SS Juve Stabia
D. Nandín,Uruguay,69,ST,FC Arouca
R. van den Berg,Netherlands,70,CB,1. FC Köln
I. Fray,United States,64,RB,Inter Miami
P. Mijić,Croatia,67,ST,TSV Hartberg
Josep Cerdà,Spain,62,LW,FC Andorra
T. Andrada,Argentina,60,CAM,Vélez Sarsfield
R. Howley,Wales,58,CAM,Bristol Rovers
A. Oyono,Gabon,66,RB,Frosinone
D. Abiama,Nigeria,66,ST,1. FC Kaiserslautern
A. Juárez,Argentina,59,CM,Barracas Central
C. González,Chile,65,RW,Deportes Iquique
A. Guðjohnsen,Iceland,68,ST,Blackburn Rovers
F. Rodríguez,Uruguay,65,ST,Boston River
J. Contrera,Argentina,64,LW,Club Atlético Sarmiento
E. Pieragnolo,Italy,67,LB,Sassuolo
Bernardo Vital,Portugal,71,CB,Jagiellonia Białystok
N. Khumbeni,England,59,CDM,Gillingham
F. Leysen,Belgium,68,CB,Union Saint-Gilloise
A. Joujou,France,69,LM,Famalicão
P. Jaeckel,Germany,69,CB,SC Preußen Münster
X. Severina,Curaçao,67,LW,Casa Pia
Z. Shuaib,England,60,CDM,Real Sociedad de Fútbol B
J. Sticker,Germany,63,LB,SC Paderborn 07
M. Dugandžić,Croatia,65,ST,FC Seoul
N. Vergos,Greece,65,ST,Melbourne Victory
S. Mullen,Republic of Ireland,62,CB,Mantova
S. Vrontis,Cyprus,61,CM,Al Fayha
Wang Shenchao,China,65,RB,Shanghai Port
L. McNally,Republic of Ireland,72,CB,Bristol City
M. Viti,Italy,72,CB,Fiorentina
Y. Kabadayi,Germany,66,RM,Gaziantep FK
K. Lofthouse,England,59,RM,Burton Albion
L. Mayo,Scotland,66,CB,Kilmarnock
C. Ashford,Wales,63,RM,Cardiff City
R. Lauritsen,Denmark,68,CB,Brøndby IF
H. Larsen,Norway,60,ST,Tromsø IL
Diego González,Spain,67,CB,AD Ceuta FC
O. Wohlers,Germany,61,ST,SV Wehen Wiesbaden
L. Jovanović,Australia,60,ST,Adelaide United
A. Sarco,Argentina,64,ST,Bayer 04 Leverkusen
D. Ballard,Northern Ireland,73,CB,Sunderland
P. Müller,Germany,64,CDM,SSV Jahn Regensburg
Dong Yu,China,56,RB,Zhejiang FC
M. Nzita,Belgium,65,LB,Royal Charleroi Sporting Club
J. Stanić,Croatia,68,CB,FC St.Gallen 1879
Redru,Spain,65,LB,AD Ceuta FC
P. Owusu,Germany,68,ST,CF Montréal
J. Amon,United States,64,LW,Vejle Boldklub
Benny Couto,Portugal,60,LB,Cork City
N. Ganaus,Germany,67,ST,Odense Boldklub
T. Barišić,Croatia,63,RB,Olympique Lyonnais
G. Sigua,Georgia,60,CM,FC Lausanne-Sport
G. Middleton,Scotland,64,LM,Doncaster Rovers
M. Dennis,England,59,ST,Notts County
Esteban Orozco,Equatorial Guinea,63,CB,FC Argeș
Marc Delgado,Spain,59,CM,SD Eibar
M. Wędrychowski,Poland,65,RM,GKS Katowice
B. Nelson,England,66,CB,Leicester City
I. Gueye,Senegal,70,ST,Udinese
N. Harriel,United States,67,RB,Philadelphia Union
G. Costa,Peru,67,RM,Universitario de Deportes
Y. Badji,Senegal,65,ST,Aarhus Gymnastikforening
S. Silalahi,Norway,59,CAM,Strømsgodset IF
Leandro Sanca,Guinea-Bissau,65,LW,Piast Gliwice
Z. Al Sahafi,Saudi Arabia,61,CB,Al Fayha
P. Dada,India,59,LW,Mohammedan SC
W. Jarvis,England,63,LW,Notts County
D. Williams,England,63,LB,Burton Albion
Zanka,Denmark,70,CB,LA Galaxy
L. Fraser,Canada,64,CDM,Reading FC
T. Sibbick,Uganda,67,RB,Burton Albion
R. Guerrero,Venezuela,65,RM,Academia Puerto Cabello
I. Ogundere,England,60,CB,AFC Wimbledon
E. Burgos,Argentina,68,CB,Club Atlético San Martín
V. Hamdiu,Kosovo,62,CDM,Unirea Slobozia
M. Radhakrishnann,India,66,RB,Mohammedan SC
Pedrinho,Brazil,61,ST,Jeju United FC
N. Lowe,England,66,ST,Stockport County
S. Gonzalez,Argentina,63,CAM,Club Atlético San Martín
N. Aséko,Germany,62,CDM,Hannover 96
E. Rito,Venezuela,65,RB,Caracas FC
G. De Meyer,Belgium,61,RB,KAA Gent
M. Kerkez,Serbia,65,LB,Fortuna Sittard
A. Van Hoorenbeeck,Belgium,68,CB,Heracles Almelo
R. Muirhead,Scotland,62,ST,Livingston FC
A. Blake,England,66,LW,FC Utrecht
B. Schamine,Argentina,61,CM,Defensa y Justicia
J. Pignani,Argentina,66,CB,Central Cordoba SdE
A. Ayoubi,Australia,60,LM,Adelaide United
B. Oaksott,Australia,65,LB,Western United
D. Dongmo,Cameroon,58,CM,Asociația Clubul Sportiv Petrolul 52
B. Mirčetić,Serbia,66,RW,Raków Częstochowa
R. Kluivert,Netherlands,67,CB,Olympique Lyonnais
T. Moore,England,64,CB,Bristol Rovers
J. Kabia,Republic of Ireland,59,RM,Grimsby Town
Z. Sturge,England,61,LB,Millwall FC
K. Autonne,United Arab Emirates,72,CB,Al Ain
D. Ciobotariu,Romania,70,CB,Rapid Bucuresti
L. Colaço,India,66,LM,Mohun Bagan Super Giant
N. Obolskii,Russia,67,ST,Córdoba CF
N. Petković,Serbia,63,CDM,Charlotte FC
Chen Po Liang,Taiwan,55,CM,Qingdao West Coast FC
Chupete,Spain,67,ST,Málaga CF
B. Michel,United States,64,RM,HJK Helsinki
B. Tomatis,Argentina,64,ST,Racing Club de Montevideo
M. Di Pizio,Australia,59,CAM,Central Coast Mariners
T. Raemaekers,Belgium,65,CB,Ferencvárosi Torna Club
N. Chadli,Morocco,64,RM,Al Ain
A. Oviedo,Paraguay,68,ST,Tigre
V. Blănuță,Romania,68,ST,Dynamo Kyiv
N. Galves,France,65,RB,Rodez Aveyron Football
Sergio Rodelas,Spain,66,LW,Granada CF
F. Loftesnes-Bjune,Norway,62,RB,Sandefjord Fotball
Paulão Junqueiras,Brazil,71,ST,Botafogo
E. Ahlstrand,Sweden,65,RM,FC St. Pauli
S. Akere,Nigeria,67,RW,Widzew Łódź
A. Vinciguerra,Italy,61,LW,Pescara
J. Norwood,England,60,ST,Fleetwood Town
A. Suhail,Qatar,61,CB,
J. Biegański,Poland,63,CDM,Pogoń Szczecin
J. Sweeney,England,62,LB,Grimsby Town
A. Alese,England,66,LB,Sunderland
Gonzalo Pastor,Spain,63,RM,Famalicão
T. Chennahi,France,61,CM,Montpellier HSC
D. Radu,Romania,63,RB,Asociația Clubul Sportiv Petrolul 52
Zheng Kaimu,China,62,CB,Wuhan Three Towns
N. Wiemann,Germany,64,CB,VfL Osnabrück
Felippe Cardoso,Brazil,65,ST,Henan FC
G. Maripán,Chile,76,CB,Torino
J. Barnett,Australia,62,CDM,Adelaide United
L. Gagnidze,Georgia,60,CM,Granada CF
E. Löder,Germany,65,CAM,SSV Ulm 1846
M. Bianchetti,Italy,71,CB,Cremonese
A. Koné,France,63,RB,Stade de Reims
Álvaro Rodríguez,Uruguay,68,ST,Elche CF
J. Oyono,Gabon,63,RB,Frosinone
S. Perica,Croatia,68,ST,Dinamo Bucureşti
D. Hyam,Scotland,71,CB,Wrexham
S. Diarra,Mali,65,ST,FK Haugesund
Siren Diao,Spain,64,ST,Cesena FC
E. Addai,Ghana,67,LM,Qarabağ FK
A. Badolato,Australia,58,ST,Newcastle Jets
A. Dramé,Ivory Coast,66,CB,Wolfsberger AC
W. Scott,Australia,60,LB,Macarthur FC
N. Shipnoski,Germany,64,LM,SV Waldhof Mannheim
J. Hawkes,England,61,LM,Oldham Athletic
R. Bangura-Williams,England,63,RM,Millwall FC
M. Giger,Switzerland,60,ST,Union Saint-Gilloise
Riccieli,Brazil,70,CB,Qingdao West Coast FC
A. Pereira,Uruguay,66,RB,Racing Club de Montevideo
M. Jensen,Denmark,67,CB,Sønderjyske Fodbold
Yoon Jae Seok,South Korea,62,LM,Ulsan HD FC
Lü Peng,China,60,CDM,Dalian Yingbo
Heitinho Zanon,Brazil,70,CB,Grêmio
C. McVey,Sweden,64,CB,San Diego FC
S. Muhlethaler,Uruguay,62,RW,Peñarol
I. Al Shuayl,Saudi Arabia,59,LB,Al Taawoun FC
Dani Bernabéu,Spain,59,LB,Albacete Balompié
Neiva,Brazil,63,LW,AVS Futebol SAD
M. Dyachuk,Ukraine,67,CB,Lechia Gdańsk
R. Ure,Scotland,67,ST,IK Sirius
B. Camara,Mauritania,60,CDM,AS Nancy Lorraine
L. Angol,England,59,ST,Cheltenham Town
L. Masoero,Argentina,68,CB,Bruk-Bet Termalica Nieciecza
S. Skeide,Norway,59,CM,Kristiansund BK
G. Lloris,France,74,CB,Le Havre AC
K. Gruszkowski,Poland,64,RB,GKS Katowice
A. Adam,Saudi Arabia,66,ST,Al Taawoun FC
D. Nugent,Republic of Ireland,58,CM,Shamrock Rovers
N. Fatar,France,61,RW,US Boulogne Cote d'Opale
M. Hoppe,Germany,61,RB,FC Ingolstadt 04
D. Hazrollaj,Kosovo,64,RW,Rapid Bucuresti
Y. Diomande,Ivory Coast,66,LM,RB Leipzig
P. Gregor,Denmark,65,CB,Halmstads BK
M. Schantl,Austria,59,RB,Blau-Weiß Linz
K. Tshimanga,England,62,ST,Crawley Town
C. Souza,Uruguay,65,LM,Cienciano
E. Kujović,Montenegro,58,CM,1. FC Köln
R. Manning,Republic of Ireland,57,CAM,Sligo Rovers
B. Fernandes,India,64,LM,FC Goa
E. Ceïde,Norway,68,LW,Rosenborg BK
Alberto,Spain,71,CB,Mohun Bagan Super Giant
Peru Rodríguez,Spain,62,CB,Real Sociedad de Fútbol B
Zhang Wei,China,60,RB,Shenzhen Peng City
Gui Beleza,Portugal,60,CDM,Gil Vicente FC
M. Luković,Serbia,67,ST,UD Las Palmas
A. Bedrane,Algeria,72,CB,Damac FC
M. Njie,Norway,65,LM,KFUM-Kameratene Oslo
L. Sgarbi,Italy,65,ST,Pescara
S. Berger,Denmark,63,CAM,Silkeborg IF
A. Dragu,Romania,60,LB,Unirea Slobozia
D. Ourega,France,65,LB,En Avant Guingamp
H. Neal,England,63,CDM,Fleetwood Town
Nazinho,Portugal,67,LB,Cercle Brugge KSV
H. Ekdal,Sweden,72,CB,Burnley
M. Bostan,Turkey,63,ST,Konyaspor
Emiro Garcés,Colombia,69,CB,LA Galaxy
G. Mitoglou,Greece,72,CB,AEK Athens
Zé Vitor,Brazil,71,CB,CD Nacional
M. Tući,Montenegro,69,CB,Gangwon FC
B. Anderson,Scotland,64,ST,Kilmarnock
Jorge Meireles,Portugal,62,LW,Estrela da Amadora
Tah Anunga,Cameroon,63,CDM,FC Cincinnati
C. Long,England,61,ST,Brisbane Roar
B. Fiabema,Norway,61,ST,Lech Poznań
J. Boyer,France,64,LB,US Boulogne Cote d'Opale
S. Baetaih,Saudi Arabia,63,RB,Al Fateh
A. Zreľák,Slovakia,63,ST,GKS Katowice
J. Austerfield,England,59,CDM,Salford City
Ren Hang,China,61,CB,Wuhan Three Towns
C. Orejuela,Ecuador,64,CAM,Mushuc Runa
Rodrigo Ribeiro,Portugal,68,ST,Sporting CP
A. Virginius,France,68,RM,BSC Young Boys
M. Tissera,Argentina,68,ST,Huracán
M. Pérez Vinlöf,Sweden,67,LB,Dinamo Zagreb
B. Lekoueiry,Mauritania,61,CAM,FC Lausanne-Sport
Ferro,Portugal,68,CB,GD Estoril Praia
J. Metcalfe,England,59,CDM,Bradford City
P. Hamel,France,67,ST,Paris FC
J. Robinson,England,64,ST,Southampton
A. Dabasse,France,66,ST,AS Nancy Lorraine
L. Aponte,Venezuela,68,CB,Carabobo FC
Samu Becerra,Spain,59,CM,Rayo Vallecano
C. Rösler,Norway,68,CB,Malmö FF
M. Calero,Bolivia,61,ST,Gualberto Villarroel SJ
A. Greene,Republic of Ireland,60,ST,Shamrock Rovers
J. Rieckmann,Germany,64,CDM,SV Waldhof Mannheim
Chumi,Spain,70,CB,UD Almería
N. Loosli,Switzerland,68,CB,VfL Bochum 1848
A. Bærtelsen,Denmark,67,CB,Viking FK
Pedro Carvalho,Portugal,65,RB,GD Estoril Praia
M. Dawran,Saudi Arabia,56,CM,Al Ettifaq
N. Ilaș,Romania,62,RB,FC Botoşani
Wei Zhen,China,67,CB,Shanghai Port
H. Kijima,Japan,60,CM,DC United
H. Sjåtil,Norway,64,RB,Vålerenga Fotball
B. Zech,Austria,67,CB,SC Rheindorf Altach
S. Al Nabit,Saudi Arabia,63,LM,Al Ahli SFC
J. Storey,England,71,CB,Preston North End
J. Kalulu,France,62,LB,Pau FC
I. Mbaye,France,68,RW,Paris Saint-Germain
A. Verstraeten,Belgium,58,CB,Royal Antwerp FC
L. Besozzi,Argentina,68,LM,Central Cordoba SdE
N. Norris,United States,57,LB,FC Dallas
J. Komar,Argentina,72,CB,Rosario Central
Adrián Diéguez,Spain,68,CB,Radomiak Radom
Sun Minghim,Hong Kong,59,LB,Tianjin Jinmen Tiger
A. Lebarbier,France,60,CM,Real Sociedad de Fútbol B
Zhao Yingjie,China,55,CM,Changchun Yatai
F. Salomoni,Argentina,64,LB,Universidad de Chile
J. Hinchy,England,59,CM,Notts County
Byeon Jun Soo,South Korea,69,CB,Gwangju FC
M. Natta,Australia,63,CB,Newcastle Jets
A. Dembélé,France,62,RB,Torino
Zhang Jiaqi,China,57,CDM,Zhejiang FC
N. Sansotre,Argentina,64,RB,Deportivo Riestra
Y. Al Mozairib,Saudi Arabia,59,ST,Al Hazem FC
Mamadi Camará,Guinea-Bissau,62,LW,Reading FC
A. Sishuba,Belgium,64,CAM,Montpellier HSC
W. Agada,Nigeria,66,ST,Real Salt Lake
K. Payne,England,56,CM,Oldham Athletic
A. Cherni,Tunisia,66,LB,Göztepe SK
D. Zec,Slovenia,71,CB,Holstein Kiel
A. Ndiaye,Senegal,75,CB,Parma
S. Quirós,Argentina,68,CB,Racing Club
J. Skahan,United States,62,CM,San Jose Earthquakes
T. Mullarkey,England,63,CB,Fleetwood Town
M. Chajia,Belgium,62,CAM,Asociația Clubul Sportiv Petrolul 52
B. Hegland,Norway,64,CAM,Djurgårdens IF
D. Duffy,Republic of Ireland,59,LM,Chesterfield
J. Mortensen,Denmark,62,RB,Rosenborg BK
A. Hack,Germany,71,CB,New York Red Bulls
P. Meyer,Poland,58,LB,Motor Lublin
V. Nielsen,Denmark,66,CB,FK Bodø/Glimt
Mao Weijie,China,57,RM,Dalian Yingbo
J. Córdoba,Colombia,69,RM,Instituto Atlético Central Córdoba
Copete,Spain,75,CB,Valencia CF
L. Hinterseer,Austria,63,ST,WSG Tirol
F. Borowski,Poland,62,RB,Piast Gliwice
H. Smith,England,63,ST,Swindon Town
M. Paskotši,Estonia,64,CB,KAA Gent
J. Soonsup-Bell,England,62,ST,Grimsby Town
D. Oyegoke,England,62,CB,Hellas Verona FC
P. Ba,Senegal,69,ST,Widzew Łódź
Nazario Serpe,Brazil,66,CDM,Grêmio
M. Geschwill,Germany,68,CB,1. FC Magdeburg
S. Kutschke,Germany,65,ST,Dynamo Dresden
I. Fofana,Guinea,64,CB,Hammarby Fotboll
A. Ševínský,Czech Republic,67,CB,Sparta Praha
O. Edwards,England,63,LM,Colchester United
Oh Jae Hyuk,South Korea,60,CM,Jeju United FC
I. James,Nigeria,63,LB,Alverca
S. Moyano,Argentina,65,RB,Central Cordoba SdE
Y. Andzouana,Congo,63,LM,Konyaspor
Fachendinho,Brazil,63,ST,Bahia
L. Moult,England,63,ST,Crewe Alexandra
T. Engelking,Germany,60,ST,TSV Havelse
K. Buckley,Republic of Ireland,58,CDM,Bohemian FC
Álex Lozano,Spain,61,LM,Real Sporting de Gijón
M. Marín,Chile,69,CAM,Unión Española
C. Okoli,Italy,73,CB,Leicester City
M. Rente,Germany,68,RB,FC Groningen
V. Milosavljević,Serbia,70,CB,AFC Bournemouth
J. Bitter,Germany,64,RB,MSV Duisburg
T. Anker,Denmark,64,CB,IK Sirius
D. Steczyk,Poland,63,ST,SC Verl
A. Segovia,Argentina,63,RM,Lanús
R. Balker,Suriname,67,CB,Huddersfield Town
R. Pagano,Italy,61,CM,SSC Bari
K. Wootton,England,65,ST,Stockport County
S. Mambo,DR Congo,66,CB,Grenoble Foot 38
Juan Gutiérrez,Spain,70,CB,CD Mirandés
T. Yegbe,Ghana,69,CB,FC Metz
Liu Junshuai,China,64,CB,Qingdao Hainiu FC
J. Kadiri,Nigeria,66,ST,FCV Dender EH
Chae Hyun Woo,South Korea,63,RM,FC Anyang
A. Artunduaga,Colombia,62,LB,Atlético Bucaramanga
J. Dorsett,Montserrat,65,LB,Reading FC
D. Al Saed,Iraq,65,LM,BK Häcken
B. Yilmaz,Turkey,68,LB,1. FC Nürnberg
M. Seegert,Germany,65,CB,SSV Ulm 1846
A. Kızıldağ,Turkey,69,CB,Gaziantep FK
M. Jenz,Germany,76,CB,VfL Wolfsburg
A. Sicker,Germany,65,LB,DSC Arminia Bielefeld
S. Ibrahim,Nigeria,65,ST,CF Montréal
N. Di Giusto,Switzerland,57,CAM,FC Zürich
K. Cesay,Sierra Leone,57,CM,Salford City
Rodrigo Guth,Brazil,68,CB,Talleres
F. Álvarez,Argentina,74,CB,Argentinos Juniors
J. Keohane,Republic of Ireland,57,RM,Galway United
A. Ciofi,Italy,67,CB,Cesena FC
K. Thompson-Sommers,England,58,CM,Milton Keynes Dons
V. Auklend,Norway,61,LB,Viking FK
N. Thompson,England,63,CB,Milton Keynes Dons
K. Koton,Poland,61,CM,FCV Dender EH
T. Ismaheel,Nigeria,66,RM,Lech Poznań
P. Zabi,Ivory Coast,61,CM,Stade de Reims
J. Caicedo,Ecuador,66,ST,Real Sporting de Gijón
E. Prekop,Slovakia,67,ST,SK Slavia Praha
H. Ahanor,Italy,66,LB,Atalanta
V. Vermeij,Netherlands,67,ST,Dynamo Dresden
Feng Boxuan,China,57,RB,Beijing Guoan
Oso,Spain,61,LB,Sevilla FC
T. Watson,England,64,RB,Barnsley
J. Carluccio,Australia,60,RM,Western Sydney Wanderers
Gustavo Marins,Brazil,67,CB,FCV Farul Constanța
J. Banel,Netherlands,64,LM,Burnley
D. Mullen,Scotland,60,ST,Derry City
F. Suárez,Argentina,67,ST,Instituto Atlético Central Córdoba
S. Sobczak,Poland,63,ST,Arka Gdynia
L. Colombo,Italy,62,CDM,Monza
A. Ladstatter,Argentina,60,CM,San Lorenzo de Almagro
P. Mentu,Finland,60,CM,HJK Helsinki
L. Ramos,Peru,69,ST,América de Cali
V. Nikolov,Bulgaria,66,ST,Korona Kielce
G. Zohouri,France,61,CM,Le Havre AC
R. Weijenberg,Netherlands,61,CAM,Go Ahead Eagles
B. Cargill,England,64,CB,Mansfield Town
S. Jatta,Norway,65,ST,SK Sturm Graz
J. Bland,Wales,58,CM,Barnsley
A. Rabillard,France,65,ST,Le Mans FC
J. León,Chile,61,LB,CD Palestino
D. Bassi,Norway,62,LW,FK Bodø/Glimt
A. van Wyk,South Africa,62,LW,SV Ried
M. Mbow,Senegal,72,CB,Paris FC
R. Walters,England,64,RB,Luton Town
H. Sahabo,Rwanda,63,CDM,Standard de Liège
Pere Haro,Spain,61,LB,Granada CF
E. Aytun,Turkey,62,LM,TSV Havelse
B. Khela,England,59,CM,Peterborough United
P. Ziereis,Germany,71,CB,SpVgg Greuther Fürth
A. Mebude,Scotland,64,RM,KVC Westerlo
L. Hoole,Wales,63,RB,Shrewsbury Town
A. González,Uruguay,64,ST,Boston River
M. Agger,Denmark,64,LW,Sønderjyske Fodbold
H. Smolčić,Croatia,72,CB,Kocaelispor
L. Freestone,England,64,CB,Stevenage
Fabrício Garcia,Cape Verde,67,LM,GD Estoril Praia
J. Steinkötter,Germany,63,ST,TSV 1860 München
A. Hausch,Argentina,61,ST,Defensa y Justicia
R. Espejord,Norway,66,ST,FK Haugesund
Han Jong Mu,South Korea,60,CM,Daegu FC
S. Mmaee,Morocco,66,CB,Qarabağ FK
E. Miller,United States,64,LB,Portland Timbers
G. Antzoulas,Greece,64,CB,HJK Helsinki
M. Chaiwa,Zambia,60,CDM,Hibernian
E. Hoyos,Argentina,64,CAM,Deportes Iquique
M. Wäschenbach,Germany,60,CM,Karlsruher SC
D. Malone,Suriname,63,CB,Telstar
J. Dolný,Slovakia,62,ST,Csíkszereda Miercurea Ciuc
Diogo Sousa,Portugal,59,CDM,Vitória SC
O. Keumo,Germany,61,LB,VfL Bochum 1848
M. Pellegrino,Argentina,67,ST,Parma
A. Mucolli,Albania,63,LW,Fredericia
T. Hadebe,Zimbabwe,69,CB,FC Cincinnati
S. Muñóz,Mexico,63,ST,Sporting Kansas City
P. Kotal,India,62,CB,Chennaiyin FC
Leonardo Freijão,Brazil,64,CDM,Cruzeiro
C. Campbell,United States,67,RM,Borussia Dortmund
L. Palacios,Colombia,67,RM,Once Caldas
D. Zema,Algeria,62,RW,Toulouse FC
D. Murray,Scotland,68,CB,Celtic
J. Dillema,Netherlands,58,CDM,FC Groningen
O. Forson,England,65,RM,Monza
N. Velupillay,Australia,65,LM,Melbourne Victory
A. Šušnjar,Australia,63,CB,Newcastle Jets
Kim Han Gil,South Korea,61,RM,Gwangju FC
A. Appiah,England,66,RM,Amiens SC
M. Vojtko,Slovakia,64,LB,Lechia Gdańsk
R. El Arguioui,Morocco,60,CAM,FC Utrecht
L. Zeefuik,Netherlands,64,ST,AZ Alkmaar
B. Szabó,Hungary,62,CAM,Csíkszereda Miercurea Ciuc
P. Glatzel,Germany,60,ST,Swindon Town
Ieltsin Camões,Angola,65,ST,Tromsø IL
M. Ens,Germany,62,CB,SC Verl
J. Córdoba,Panama,68,CB,Norwich City
L. Duzel,Australia,56,CM,Adelaide United
P. Ugwu,Netherlands,62,CB,FC Volendam
E. Hottmann,Germany,64,ST,SSV Jahn Regensburg
D. Daga,Nigeria,61,CDM,Molde FK
C. Gómez,Peru,61,RB,Alianza Lima
A. Markgraf,Germany,63,LB,1. FC Union Berlin
U. Singh,India,58,RM,FC Goa
B. Tuma,Malta,59,ST,Reading FC
S. Amo-Ameyaw,England,69,RM,RC Strasbourg Alsace
F. Gruber,Germany,67,CB,1. FC Nürnberg
H. Ancajima,Peru,64,RB,Universitario de Deportes
W. Grigg,Northern Ireland,63,ST,Chesterfield
F. Guerra,Ecuador,65,CB,Barcelona de Guayaquil
A. Salazar,Colombia,65,LB,Atlético Nacional
A. Privett,United States,66,CB,Charlotte FC
R. Johansson,Republic of Ireland,63,LM,SV Wehen Wiesbaden
A. Breslin,Republic of Ireland,60,LB,St Patrick's Athletic FC
R. Brajković,Croatia,62,RW,Hajduk Split
J. Hödl,Austria,58,CM,SK Sturm Graz
J. Randall,New Zealand,60,LM,Auckland FC
De la Rosa,Spain,66,LM,Cádiz CF
Kim Yi Seok,South Korea,60,CM,Gimcheon Sangmu FC
M. Søndergaard,Denmark,64,CM,Viborg FF
Gustavo Varela,Portugal,68,ST,Gil Vicente FC
S. Tapiero,Colombia,67,CDM,Mushuc Runa
Li Songyi,China,63,CB,Yunnan Yukun
A. Saldivia,Uruguay,72,CB,Colo-Colo
G. Bernardeau,France,66,CAM,OGC Nice
S. Ogie,Republic of Ireland,62,CB,Gillingham
A. Giorgini,Italy,68,CB,SS Juve Stabia
K. Cissé,France,63,RM,Red Star FC
G. Rahajaän,Netherlands,59,CM,PEC Zwolle
J. Velásquez,Bolivia,62,ST,Bolívar
T. Johnson,United States,62,LB,Vancouver Whitecaps FC
N. Bretschneider,Germany,65,LB,1. FC Saarbrücken
O. Bogle,England,62,ST,Crewe Alexandra
J. Ríos Alonso,Germany,65,CB,Rot-Weiss Essen
M. Srivastyava,India,61,RW,Mohammedan SC
F. Demir,Turkey,63,RB,SK Rapid
D. Teah,Liberia,62,CM,SK Slavia Praha
M. Isah,Nigeria,61,CM,Academia Puerto Cabello
N. Capraro,Argentina,67,CB,Barracas Central
João Victor,Brazil,66,RW,Daejeon Citizen
T. Strata,Romania,64,RB,Vitória SC
I. Fletcher,England,59,CM,Barrow
O. Aertssen,Netherlands,65,RB,PEC Zwolle
